Date  ,Time,HumidityHive,TemperatureHive,WatervapourdenHive,TemperatureOutside,Barometer,HumidyOutside,Rain,WindSpeed,WindDir
4/14/2013,18:10:00,84.54,32.21,28.858,21.944400,1023.34,34,0.00,4.83,337
4/14/2013,18:20:00,85.47,32.35,29.393,21.444400,1023.20,34,0.00,4.83,337
4/14/2013,18:30:00,86.97,32.38,29.957,21.277800,1023.13,34,0.00,0.00,337
4/14/2013,18:40:00,80.93,32.12,27.494,21.222200,1023.13,35,0.00,1.61,315
4/14/2013,18:50:00,79.71,32.39,27.471,21.055600,1023.00,36,0.00,0.00,315
4/14/2013,19:00:00,79.51,32.50,27.562,20.888900,1022.93,36,0.00,1.61,337
4/14/2013,19:10:00,78.08,32.48,27.038,20.833300,1022.83,36,0.00,4.83,0
4/14/2013,19:20:00,83.15,32.23,28.414,20.833300,1022.83,36,0.00,3.22,337
4/14/2013,19:30:00,91.92,32.42,31.729,20.722200,1022.76,36,0.00,3.22,337
4/14/2013,19:40:00,82.75,32.48,28.655,20.500000,1022.69,37,0.00,1.61,337
4/14/2013,19:50:00,87.68,32.32,30.105,20.166700,1022.66,37,0.00,1.61,337
4/14/2013,20:00:00,78.85,32.40,27.189,20.000000,1022.66,39,0.00,0.00,337
4/14/2013,20:10:00,84.17,32.14,28.625,19.611100,1022.62,42,0.00,0.00,0
4/14/2013,20:20:00,81.78,32.49,28.334,18.944400,1022.59,47,0.00,3.22,67
4/14/2013,20:30:00,79.63,32.64,27.809,18.111100,1022.56,52,0.00,0.00,67
4/14/2013,20:40:00,87.44,32.58,30.440,17.222200,1022.73,56,0.00,0.00,67
4/14/2013,20:50:00,81.00,32.39,27.915,16.444400,1022.86,58,0.00,0.00,67
4/14/2013,21:00:00,88.37,32.63,30.846,16.055600,1023.03,59,0.00,0.00,67
4/14/2013,21:10:00,83.33,32.64,29.102,15.777800,1023.13,60,0.00,0.00,67
4/14/2013,21:20:00,87.03,32.59,30.313,15.333300,1023.30,63,0.00,0.00,67
4/14/2013,21:30:00,90.10,32.61,31.416,14.722200,1023.23,65,0.00,0.00,-1
4/14/2013,21:40:00,86.31,32.52,29.951,14.277800,1023.13,67,0.00,0.00,67
4/14/2013,21:50:00,94.16,32.38,32.433,13.777800,1023.20,68,0.00,0.00,-1
4/14/2013,22:00:00,80.33,32.39,27.684,13.333300,1023.20,70,0.00,0.00,-1
4/14/2013,22:10:00,80.27,32.33,27.576,12.888900,1023.13,72,0.00,0.00,67
4/14/2013,22:20:00,80.86,32.55,28.105,12.444400,1023.03,74,0.00,0.00,-1
4/14/2013,22:30:00,83.00,32.34,28.529,11.944400,1023.00,75,0.00,0.00,67
4/14/2013,22:40:00,84.40,32.45,29.180,12.000000,1022.86,77,0.00,0.00,67
4/14/2013,22:50:00,77.51,32.36,26.670,11.944400,1022.83,76,0.00,0.00,67
4/14/2013,23:00:00,80.97,32.66,28.308,12.277800,1022.66,72,0.00,1.61,135
4/14/2013,23:10:00,87.35,32.75,30.684,12.611100,1022.62,68,0.00,0.00,135
4/14/2013,23:20:00,73.74,32.86,26.054,12.722200,1022.52,66,0.00,4.83,112
4/14/2013,23:30:00,75.22,32.72,26.381,12.833300,1022.52,64,0.00,4.83,135
4/14/2013,23:40:00,77.28,32.73,27.118,13.055600,1022.49,62,0.00,6.44,157
4/14/2013,23:50:00,74.92,32.80,26.387,13.666700,1022.42,60,0.00,4.83,157
4/15/2013,0:00:00,78.57,32.79,27.658,14.666700,1022.42,55,0.00,1.61,157
4/15/2013,0:10:00,71.33,32.25,24.400,14.388900,1022.35,56,0.00,0.00,135
4/15/2013,0:20:00,83.04,32.21,28.346,14.333300,1022.39,56,0.00,0.00,157
4/15/2013,0:30:00,84.03,32.39,28.959,14.166700,1022.42,57,0.00,0.00,157
4/15/2013,0:40:00,77.57,32.46,26.833,13.611100,1022.35,59,0.00,3.22,135
4/15/2013,0:50:00,74.58,32.45,25.785,13.388900,1022.35,62,0.00,3.22,337
4/15/2013,1:00:00,76.68,32.45,26.511,12.777800,1022.35,64,0.00,3.22,337
4/15/2013,1:10:00,79.18,32.82,27.917,12.388900,1022.35,67,0.00,1.61,315
4/15/2013,1:20:00,75.74,32.84,26.733,11.944400,1022.29,69,0.00,0.00,315
4/15/2013,1:30:00,70.93,32.40,24.458,11.611100,1022.25,70,0.00,0.00,-1
4/15/2013,1:40:00,75.38,32.78,26.521,11.166700,1022.25,72,0.00,0.00,-1
4/15/2013,1:50:00,81.52,32.43,28.154,10.833300,1022.18,74,0.00,1.61,315
4/15/2013,2:00:00,87.44,32.49,30.295,10.666700,1022.18,75,0.00,1.61,315
4/15/2013,2:10:00,84.04,32.43,29.024,10.333300,1022.08,76,0.00,0.00,-1
4/15/2013,2:20:00,79.63,32.65,27.824,9.833330,1022.05,77,0.00,0.00,180
4/15/2013,2:30:00,82.38,32.28,28.225,9.833330,1021.98,78,0.00,0.00,180
4/15/2013,2:40:00,70.78,32.47,24.497,9.500000,1021.81,78,0.00,0.00,180
4/15/2013,2:50:00,76.79,32.44,26.535,9.333330,1021.74,79,0.00,0.00,-1
4/15/2013,3:00:00,73.88,32.64,25.801,10.166700,1021.81,75,0.00,1.61,180
4/15/2013,3:10:00,68.16,32.72,23.905,10.722200,1021.78,73,0.00,0.00,180
4/15/2013,3:20:00,70.96,32.85,25.059,10.333300,1021.74,73,0.00,0.00,-1
4/15/2013,3:30:00,71.11,32.80,25.046,10.111100,1021.71,74,0.00,0.00,157
4/15/2013,3:40:00,66.46,33.13,23.820,9.944450,1021.68,75,0.00,0.00,202
4/15/2013,3:50:00,71.21,32.85,25.147,10.222200,1021.71,74,0.00,0.00,202
4/15/2013,4:00:00,71.22,32.90,25.217,10.000000,1021.64,75,0.00,1.61,135
4/15/2013,4:10:00,75.43,32.73,26.469,10.666700,1021.64,69,0.00,3.22,157
4/15/2013,4:20:00,71.14,32.56,24.739,11.500000,1021.57,65,0.00,8.05,157
4/15/2013,4:30:00,84.70,32.38,29.175,12.000000,1021.51,62,0.00,6.44,135
4/15/2013,4:40:00,79.29,32.22,27.080,12.222200,1021.54,60,0.00,8.05,157
4/15/2013,4:50:00,70.27,32.66,24.567,12.833300,1021.61,57,0.00,3.22,202
4/15/2013,5:00:00,70.39,32.82,24.818,12.944400,1021.74,56,0.00,1.61,180
4/15/2013,5:10:00,67.06,32.74,23.544,12.444400,1021.78,59,0.00,0.00,225
4/15/2013,5:20:00,67.58,32.55,23.489,11.166700,1021.88,65,0.00,1.61,337
4/15/2013,5:30:00,70.28,32.78,24.727,10.333300,1021.85,68,0.00,0.00,-1
4/15/2013,5:40:00,63.86,32.98,22.707,9.833330,1022.08,71,0.00,0.00,337
4/15/2013,5:50:00,67.26,32.58,23.415,9.555560,1022.42,73,0.00,1.61,315
4/15/2013,6:00:00,70.23,32.73,24.644,9.277780,1022.35,74,0.00,3.22,0
4/15/2013,6:10:00,70.38,32.63,24.566,8.833330,1022.35,75,0.00,0.00,-1
4/15/2013,6:20:00,65.81,32.63,22.971,8.388890,1022.32,77,0.00,0.00,-1
4/15/2013,6:30:00,83.21,32.31,28.555,8.388890,1022.49,78,0.00,0.00,-1
4/15/2013,6:40:00,73.04,32.41,25.199,8.222220,1022.62,78,0.00,0.00,-1
4/15/2013,6:50:00,66.99,32.36,23.050,7.722220,1022.76,79,0.00,0.00,-1
4/15/2013,7:00:00,67.31,32.44,23.259,7.722220,1022.90,80,0.00,0.00,-1
4/15/2013,7:10:00,68.39,32.28,23.432,7.555550,1023.10,81,0.00,0.00,-1
4/15/2013,7:20:00,70.21,32.46,24.287,7.777780,1023.10,81,0.00,1.61,45
4/15/2013,7:30:00,69.94,32.34,24.040,7.777780,1023.10,80,0.00,0.00,67
4/15/2013,7:40:00,71.99,32.22,24.587,7.888890,1023.10,82,0.00,1.61,90
4/15/2013,7:50:00,71.25,31.94,23.974,8.444440,1023.27,82,0.00,0.00,112
4/15/2013,8:00:00,75.70,32.24,25.881,9.833330,1023.27,79,0.00,3.22,112
4/15/2013,8:10:00,78.63,32.30,26.969,10.555600,1023.06,76,0.00,1.61,135
4/15/2013,8:20:00,75.77,32.56,26.349,11.833300,1023.03,74,0.00,3.22,135
4/15/2013,8:30:00,70.55,32.18,24.044,12.888900,1022.90,68,0.00,1.61,135
4/15/2013,8:40:00,68.41,31.86,22.920,13.833300,1022.76,64,0.00,1.61,135
4/15/2013,8:50:00,71.77,31.89,24.085,14.500000,1022.90,61,0.00,0.00,135
