timestamp,mik innen-a_1,mik innen-a_2,miks boden-_1,miks boden-_2,miks kanal-_1,miks kanal-_2,Date,Time,HumidityHive,TemperatureHive,WatervapourdenHive,TemperatureOutside,Barometer,HumidyOutside,Rain,WindSpeed,WindDir
2013-04-13 22:20:00,3797.25333187452,2095.83457685114,1777.95904451082,1678.9281188757,2752.53819233844,3288.42598806342,4/13/2013,22:20:00,81.99,31.11,26.39,7.44445,1025.13,80,0,0,202
2013-04-13 22:30:00,3588.60853335157,2061.73810529151,1682.34859923292,1550.66119340264,3010.41501948509,3230.68232274617,4/13/2013,22:30:00,85.65,31.18,27.672,7.33333,1025.1,81,0,1.61,202
2013-04-13 22:40:00,3724.2028520384,2061.74005856221,1648.19809031483,1619.23727113548,2748.68829547549,2386.25729214354,4/13/2013,22:40:00,84.72,31.17,27.357,7.22222,1025.2,82,0,1.61,202
2013-04-13 22:50:00,3829.95992965205,2006.77859227473,1672.40631641087,1571.0430650511,2894.07548952698,3415.71659097,4/13/2013,22:50:00,80.24,31.12,25.841,7.16667,1025.2,82,0,0,202
2013-04-13 23:00:00,3578.14932349315,2093.36609650391,1561.99144796988,1542.16537817645,2648.80939674163,2737.88945571657,4/13/2013,23:00:00,82.76,31.14,26.681,6.94445,1025.33,83,0,0,202
2013-04-13 23:10:00,3653.20284479315,2022.17592013782,1722.9598910297,1600.2767972593,2795.00466670948,3492.14377681449,4/13/2013,23:10:00,83.28,31.18,26.906,6.83333,1025.33,82,0,1.61,202
2013-04-13 23:20:00,3909.45045352231,2044.69722355167,1788.48910590335,1687.27833180863,3061.04038741074,3526.96188790125,4/13/2013,23:20:00,85.74,30.97,27.391,6.83333,1025.47,82,0,0,202
2013-04-13 23:30:00,3883.45899659881,2107.82761075253,1749.18005737414,1662.1237172893,NA,NA,4/13/2013,23:30:00,84.19,30.93,26.838,6.88889,1025.47,81,0,0,-1
2013-04-13 23:40:00,NA,NA,NA,NA,NA,NA,4/13/2013,23:40:00,86.24,30.88,27.418,6.83333,1025.54,81,0,0,-1
2013-04-13 23:50:00,NA,NA,NA,NA,NA,NA,4/13/2013,23:50:00,84.71,31,27.105,6.72222,1025.54,80,0,0,-1
2013-04-14 00:00:00,NA,NA,NA,NA,NA,NA,4/14/2013,0:00:00,83.27,31.01,26.659,6.61111,1025.64,81,0,0,-1
2013-04-14 00:10:00,NA,NA,NA,NA,NA,NA,4/14/2013,0:10:00,88.82,30.98,28.39,6.5,1025.77,82,0,0,-1
2013-04-14 00:20:00,NA,NA,NA,NA,NA,NA,4/14/2013,0:20:00,89.9,31.22,29.107,6.22222,1025.84,83,0,0,-1
2013-04-14 00:30:00,NA,NA,NA,NA,NA,NA,4/14/2013,0:30:00,87.82,31.28,28.526,5.94445,1025.88,83,0,0,-1
2013-04-14 00:40:00,NA,NA,NA,NA,NA,NA,4/14/2013,0:40:00,79.78,31.22,25.831,5.77778,1025.98,83,0,0,-1
2013-04-14 00:50:00,NA,NA,NA,NA,NA,NA,4/14/2013,0:50:00,82.18,31.59,27.14,5.55555,1026.01,84,0,0,-1
2013-04-14 01:00:00,3844.19862260973,2058.45854716199,1813.89858264541,1681.09808613303,2983.59511399903,3389.53242996802,4/14/2013,1:00:00,76.98,31.53,25.341,5.44444,1025.98,85,0,0,-1
2013-04-14 01:10:00,3818.26153421083,2100.16850065448,1754.1607829777,1637.3128547573,3012.41149693414,3568.87349905481,4/14/2013,1:10:00,81.67,31.63,27.029,5.33333,1025.98,85,0,0,202
2013-04-14 01:20:00,3838.46040340945,2132.37708117458,1715.02305373985,1579.694249564,3104.05273632014,3466.00957755617,4/14/2013,1:20:00,82.33,31.56,27.146,5.27778,1025.98,85,0,0,-1
2013-04-14 01:30:00,3808.44428239111,2195.02165629668,1763.8329471051,1708.69205545582,3034.78983538122,2721.65887091865,4/14/2013,1:30:00,86.38,31.39,28.224,5.16667,1026.04,86,0,0,-1
2013-04-14 01:40:00,3985.7505575016,2222.30476199269,1792.03855940811,1758.50090359387,2705.10546979077,3012.16154724126,4/14/2013,1:40:00,81.76,31.58,26.987,5.16667,1026.04,86,0,0,-1
2013-04-14 01:50:00,4025.27995897192,2324.41574205652,1697.10625439429,1642.7200050925,3021.56474956756,3660.80092554804,4/14/2013,1:50:00,74.58,31.62,24.67,5.16667,1025.94,87,0,0,-1
2013-04-14 02:00:00,3794.21800183549,2450.79689809716,1774.25571150642,1555.10980151553,2539.7716843745,3368.81038680626,4/14/2013,2:00:00,79.34,31.51,26.09,5.22222,1025.98,87,0,0,-1
2013-04-14 02:10:00,3882.98269316741,2439.3743084414,1654.30931946912,1623.70063137927,3094.50039599399,2976.59979148687,4/14/2013,2:10:00,75.8,31.49,24.9,5.44444,1026.04,88,0,0,-1
2013-04-14 02:20:00,NA,NA,NA,NA,NA,NA,4/14/2013,2:20:00,77.29,31.39,25.253,5.66667,1026.28,87,0,0,202
2013-04-14 02:30:00,NA,NA,NA,NA,NA,NA,4/14/2013,2:30:00,86.83,31.15,28.008,6,1026.28,87,0,0,-1
2013-04-14 02:40:00,NA,NA,NA,NA,NA,NA,4/14/2013,2:40:00,85.29,31.19,27.57,6.11111,1026.35,87,0,0,-1
2013-04-14 02:50:00,NA,NA,NA,NA,NA,NA,4/14/2013,2:50:00,89.78,30.96,28.666,6.27778,1026.28,86,0,0,-1
2013-04-14 03:00:00,NA,NA,NA,NA,NA,NA,4/14/2013,3:00:00,82.1,31.23,26.596,6.44444,1026.45,86,0,0,-1
2013-04-14 03:10:00,NA,NA,NA,NA,NA,NA,4/14/2013,3:10:00,78.32,31.39,25.59,6.66667,1026.52,85,0,0,202
2013-04-14 03:20:00,NA,NA,NA,NA,NA,NA,4/14/2013,3:20:00,82.88,31.36,27.037,6.77778,1026.55,84,0,0,202
2013-04-14 03:30:00,NA,NA,NA,NA,NA,NA,4/14/2013,3:30:00,78.18,31.7,25.971,6.83333,1026.55,84,0,0,202
2013-04-14 03:40:00,NA,NA,NA,NA,NA,NA,4/14/2013,3:40:00,81.57,31.67,27.054,7,1026.55,84,0,0,-1
2013-04-14 03:50:00,NA,NA,NA,NA,NA,NA,4/14/2013,3:50:00,85.27,31.7,28.327,7.11111,1026.42,83,0,1.61,202
2013-04-14 04:00:00,3871.13404111979,2594.94765964131,1729.34501336769,1632.1918586596,3611.06245848151,3704.47407576127,4/14/2013,4:00:00,89.07,31.7,29.589,7.22222,1026.55,82,0,1.61,202
2013-04-14 04:10:00,3871.04917001088,2259.46896771606,1769.53740068062,1661.89993274683,3305.9682275437,3510.41713089944,4/14/2013,4:10:00,83.31,31.56,27.469,7.61111,1026.48,80,0,1.61,202
2013-04-14 04:20:00,3946.22448525263,2727.01950024597,1802.61330356743,1743.75002041168,3653.11310976445,3083.65426613318,4/14/2013,4:20:00,77.55,31.52,25.515,8.11111,1026.45,77,0,1.61,202
2013-04-14 04:30:00,3890.80992041315,2972.05046220299,1742.54479731544,1697.25341196447,3335.11690791301,2734.80500876773,4/14/2013,4:30:00,71.23,31.53,23.449,8.66667,1026.59,74,0,0,157
2013-04-14 04:40:00,3864.72182860215,3017.30245957708,1741.34925523771,1610.64328507163,3177.31752321187,2946.73521440728,4/14/2013,4:40:00,76.1,31.42,24.905,9,1026.55,72,0,1.61,157
2013-04-14 04:50:00,3722.11845030615,2807.74695957698,1816.83628530573,1733.2955780276,2667.75658794207,2771.81742061162,4/14/2013,4:50:00,82.99,31.45,27.203,9.11111,1026.42,71,0,3.22,157
2013-04-14 05:00:00,3885.42438344925,2418.63438010224,1796.83714444539,1717.73500176502,2761.5362155803,2792.11394776313,4/14/2013,5:00:00,82.21,31.35,26.804,9.05556,1026.55,72,0,0,-1
2013-04-14 05:10:00,3831.61014760785,3620.48459785432,1733.59929445895,1715.1843164475,3474.6124559636,2830.08696161514,4/14/2013,5:10:00,82.94,31.46,27.201,8.94444,1026.59,73,0,1.61,157
2013-04-14 05:20:00,NA,NA,1669.45757326009,1594.78974935002,NA,NA,4/14/2013,5:20:00,83.51,31.47,27.403,8.83333,1026.62,73,0,0,-1
2013-04-14 05:30:00,NA,NA,NA,NA,NA,NA,4/14/2013,5:30:00,78.38,31.55,25.83,8.83333,1026.59,74,0,0,157
2013-04-14 05:40:00,NA,NA,NA,NA,NA,NA,4/14/2013,5:40:00,81.82,31.58,27.007,8.72222,1026.48,74,0,0,157
2013-04-14 05:50:00,NA,NA,NA,NA,NA,NA,4/14/2013,5:50:00,84.7,31.62,28.017,8.55556,1026.42,74,0,0,157
2013-04-14 06:00:00,NA,NA,NA,NA,NA,NA,4/14/2013,6:00:00,85.36,31.52,28.085,8.44444,1026.42,74,0,0,157
2013-04-14 06:10:00,NA,NA,NA,NA,NA,NA,4/14/2013,6:10:00,85.35,31.32,27.783,8.27778,1026.42,74,0,0,-1
2013-04-14 06:20:00,NA,NA,NA,NA,NA,NA,4/14/2013,6:20:00,75.61,31.68,25.091,8.33333,1026.45,74,0,1.61,157
2013-04-14 06:30:00,NA,NA,NA,NA,NA,NA,4/14/2013,6:30:00,83.45,31.39,27.266,8.33333,1026.35,74,0,0,157
2013-04-14 06:40:00,NA,NA,NA,NA,NA,NA,4/14/2013,6:40:00,83.04,31.48,27.263,8.27778,1026.32,74,0,0,157
2013-04-14 06:50:00,NA,NA,NA,NA,NA,NA,4/14/2013,6:50:00,79.8,31.51,26.242,8.22222,1026.45,76,0,0,-1
2013-04-14 07:00:00,4067.31424795945,3071.32208500035,1756.0902132961,1783.90115621058,2914.98968410501,1544.90358434987,4/14/2013,7:00:00,77.45,31.49,25.442,8.27778,1026.72,74,0,0,157
2013-04-14 07:10:00,3820.86517814783,3201.74083215376,1807.08374226094,1742.5464179424,2637.35380095299,910.853307806964,4/14/2013,7:10:00,77.87,31.61,25.744,8.5,1026.82,74,0,0,-1
2013-04-14 07:20:00,3925.81766230521,3044.23960942921,1843.59452070151,1656.27775581521,2772.79374787494,2114.63560174,4/14/2013,7:20:00,84.43,31.46,27.69,8.61111,1026.82,76,0,1.61,337
2013-04-14 07:30:00,3938.20417519552,2196.48402868861,1860.83532898565,1777.16928209959,2410.58042685715,1242.57478530955,4/14/2013,7:30:00,74.64,31.03,23.922,8.44444,1026.86,77,0,0,-1
2013-04-14 07:40:00,3517.09098161975,2175.24207446098,1965.58165451623,1798.63487551063,2001.59126196736,1037.32107790643,4/14/2013,7:40:00,80,31.29,25.999,8.38889,1026.86,78,0,0,-1
2013-04-14 07:50:00,3592.20004214506,3170.48750924228,2114.05203076426,1751.40436224526,1937.29440414625,1007.61384928464,4/14/2013,7:50:00,77,31.09,24.758,8.5,1026.82,79,0,0,-1
2013-04-14 08:00:00,3605.25991984945,2843.40082266034,1964.22821232938,1872.40777375641,1644.32018916919,1085.19136917821,4/14/2013,8:00:00,83.77,31.54,27.591,8.66667,1026.82,79,0,0,315
2013-04-14 08:10:00,3663.12345606445,3161.57564779921,2098.3790286075,2063.05837268447,1739.15063309106,1093.61710645245,4/14/2013,8:10:00,69.46,31.5,22.829,8.88889,1026.86,79,0,0,315
2013-04-14 08:20:00,3639.48589120077,3349.58785779187,1921.47911169555,1932.2695817001,1514.89909181087,1173.46940770004,4/14/2013,8:20:00,77.92,31.57,25.706,9.22222,1026.89,78,0,0,315
2013-04-14 08:30:00,3533.61379416078,3032.84358337721,2017.67276408294,1850.00840135538,1721.61770941366,1237.63258136191,4/14/2013,8:30:00,87.88,31.47,28.837,9.77778,1026.86,77,0,1.61,315
2013-04-14 08:40:00,NA,NA,NA,NA,NA,NA,4/14/2013,8:40:00,72.89,31.01,23.336,10.7222,1026.86,71,0,1.61,315
2013-04-14 08:50:00,NA,NA,NA,NA,NA,NA,4/14/2013,8:50:00,84.1,31.13,27.098,11.2222,1026.79,68,0,0,315
2013-04-14 09:00:00,NA,NA,NA,NA,NA,NA,4/14/2013,9:00:00,81.59,31.25,26.459,11.8333,1026.65,68,0,0,315
2013-04-14 09:10:00,NA,NA,NA,NA,NA,NA,4/14/2013,9:10:00,74.3,31.34,24.212,12.5,1026.69,65,0,0,315
